ID_REF	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
A_24_P937936	92.66287251850491	-0.0028377751037237417	0.040728746448398356	2.1312701467841473e-5	0.002146979754745701	TRUE
A_24_P913292	78.84082706400866	-0.002845640478870962	0.0407283427467505	8.256331712232768e-10	1.9680790709392063e-7	TRUE
A_23_P376727	115.03943030133954	-0.0028494329206097766	0.040729874245096775	4.692504262947552e-5	0.004453534138445593	TRUE
A_24_P481263	94.33436174852451	-0.0028526828982134585	0.04073009388762812	2.0983834599202377e-10	6.88269774853838e-8	TRUE
A_23_P386310	49.43959327774562	-0.0028590939719641602	0.04073156776015266	1.794195851006548e-8	2.8512414686538162e-6	TRUE
A_24_P731845	330.57386212676	-0.002866781304027482	0.0407307913906697	9.564730606904581e-5	0.008656820196094654	TRUE
A_23_P313938	172.42318102900927	-0.0028710219328261363	0.040732704449197875	6.34775872971381e-9	1.0935214618414546e-6	TRUE
A_24_P484791	1.9299552858675117	-0.002872830445833913	0.04067695718250706	5.668008704300846e-4	0.04311472298262239	TRUE
A_32_P775679	61.664331096342	-0.0028765068068537813	0.04072974776689499	1.1479807823925558e-9	2.6003984573533033e-7	TRUE
A_32_P392636	60.73554659855344	-0.0028766015270353393	0.04073516443756792	6.551114117787169e-9	1.1191486617886415e-6	TRUE
A_23_P31996	97.34235576099594	-0.0028771212652577115	0.04073408630650035	6.302700875821274e-7	7.736848380499168e-5	TRUE
A_23_P312505	34.494132020285484	-0.002879982091348804	0.04073502021016158	3.0425882934997775e-7	3.862108979365042e-5	TRUE
A_23_P310921	350.25117052715456	-0.00288213816721209	0.04073379442265419	7.2819756534076875e-6	8.004316401869039e-4	TRUE
A_24_P83899	243.3128396974193	-0.0028904399766962554	0.04073256520166302	6.107784989366292e-6	6.823411023542723e-4	TRUE
A_23_P399864	53.683086476847606	-0.002894390858325089	0.040734034201064986	5.9365816371641774e-5	0.0055570741352450066	TRUE
A_23_P410040	96.01572380902199	-0.0029075933601979123	0.04073840379155776	1.344281775659247e-10	4.877482548852136e-8	TRUE
A_23_P127553	98.23442104300597	-0.0029084019516663587	0.04073210423379474	6.004564561935498e-11	2.474242806262036e-8	TRUE
A_24_P856164	544.7062462935862	-0.0029084070484537874	0.04073420273434185	2.570718349751887e-4	0.020954165475114785	TRUE
A_23_P47148	9.321809552599845	-0.0029120283565314954	0.040729478986939266	1.723639972728849e-4	0.014715824566732193	TRUE
A_32_P111306	117.715709810247	-0.0029185662858189003	0.04073966391094851	1.8317203415650996e-11	1.0728647714881297e-8	TRUE
A_23_P434416	171.04935149593075	-0.002919584410881371	0.04073480451484545	4.2523203028418304e-4	0.03314546243659982	TRUE
A_24_P916464	75.266293237563	-0.002925237224373851	0.040740162054902516	5.148710640622572e-10	1.4073142417701696e-7	TRUE
A_23_P252023	18.535601316992118	-0.0029280838818022477	0.04073580593836566	5.7704099885124025e-6	6.464120478934658e-4	TRUE
A_23_P328642	113.03249625367341	-0.002930336981262586	0.04073995976600591	2.1162298498441582e-7	2.74574126087375e-5	TRUE
A_32_P397824	18.176449027230007	-0.0029395160958304713	0.0407404038366852	7.85813214914597e-6	8.568707928590021e-4	TRUE
A_32_P149043	65.84712393420304	-0.002945622506491556	0.040742311109091205	2.1516870455724644e-9	4.210511318846035e-7	TRUE
A_23_P206819	153.69768026141125	-0.0029512128597847043	0.04074347851034865	5.258879223659447e-12	4.125135484948623e-9	TRUE
A_24_P924335	112.82435542315211	-0.0029526367420198447	0.04074335295013337	2.688064534662294e-11	1.4129569989891545e-8	TRUE
A_32_P797019	126.38670634843271	-0.002953066982026832	0.04074344115702243	9.901319513844826e-12	6.7659016677939645e-9	TRUE
A_24_P930829	23.959088129499055	-0.002954848414600715	0.040736894024723136	1.5104005351317966e-4	0.013092266795011345	TRUE
A_24_P854556	86.53003023317518	-0.0029575976437831828	0.04074377407857674	2.1340696769171002e-10	6.88951627981111e-8	TRUE
A_24_P213715	207.32734012524773	-0.002964927509181957	0.040742762377476385	6.478029606130714e-6	7.217369941613024e-4	TRUE
A_23_P396800	80.12290659577663	-0.0029705250689896455	0.04074515375463309	4.0680067792617105e-10	1.1582519302064593e-7	TRUE
A_32_P116606	79.46045959805149	-0.0029737037928325187	0.040744862664875925	5.157177543421602e-4	0.03974516527824919	TRUE
A_23_P46549	76.53267800938801	-0.0029740435829036676	0.04074397122278569	2.6025441223436758e-9	4.940014306300495e-7	TRUE
A_23_P83184	180.00532886693404	-0.002979998642553001	0.040744805081940144	1.9559932236556646e-6	2.2978716954120986e-4	TRUE
A_32_P438767	194.3365645902675	-0.00298014018322371	0.04074653457734255	1.5905083460935474e-13	2.32895864963698e-10	TRUE
A_24_P582206	78.4021376438544	-0.0029812511303856154	0.04074630519170768	2.9884796309623476e-10	8.94362517295301e-8	TRUE
A_24_P205252	19.029171615965247	-0.002981671356495487	0.04074633123245523	1.038498876153794e-5	0.0011059338681118326	TRUE
A_24_P177948	19.1049878555392	-0.002985572490563567	0.040746754297383496	1.0302047517616844e-5	0.0010999581984955484	TRUE
A_23_P51019	53.25058330830685	-0.0029867886556917468	0.04074726580739578	1.05728081336746e-8	1.7409041505247333e-6	TRUE
A_24_P242723	94.52324669059496	-0.003005900013269474	0.040749146149132054	8.238552567278897e-11	3.247890915946488e-8	TRUE
